yearID,franchID,name,G,SO
1900,PHI,Philadelphia Phillies,141,377.0
1900,PIT,Pittsburgh Pirates,140,319.0
1900,STL,St. Louis Cardinals,141,318.0
1901,NYY,Baltimore Orioles,134,373.0
1901,BOS,Boston Americans,138,281.0
1901,LAD,Brooklyn Superbas,137,446.0
1901,ATL,Boston Beaneaters,140,518.0
1901,CHW,Chicago White Sox,137,336.0
1901,CHC,Chicago Orphans,140,530.0
1901,CIN,Cincinnati Reds,142,587.0
1901,CLE,Cleveland Blues,138,322.0
1901,DET,Detroit Tigers,135,348.0
1901,BAL,Milwaukee Brewers,139,387.0
1901,SFG,New York Giants,141,578.0
1901,OAK,Philadelphia Athletics,137,344.0
1901,PHI,Philadelphia Phillies,140,550.0
1901,PIT,Pittsburgh Pirates,140,497.0
1901,STL,St. Louis Cardinals,142,540.0
1901,MIN,Washington Senators,138,339.0
1902,NYY,Baltimore Orioles,140,424.0
1902,BOS,Boston Americans,138,371.0
1902,LAD,Brooklyn Superbas,141,491.0
1902,ATL,Boston Beaneaters,141,483.0
1902,CHW,Chicago White Sox,138,379.0
1902,CHC,Chicago Orphans,143,566.0
1902,CIN,Cincinnati Reds,141,467.0
1902,CLE,Cleveland Bronchos,137,353.0
1902,DET,Detroit Tigers,137,289.0
1902,SFG,New York Giants,141,544.0
1902,OAK,Philadelphia Athletics,137,288.0
1902,PHI,Philadelphia Phillies,138,480.0
1902,PIT,Pittsburgh Pirates,141,440.0
1902,BAL,St. Louis Browns,139,324.0
1902,STL,St. Louis Cardinals,140,439.0
1902,MIN,Washington Senators,138,292.0
1903,BOS,Boston Americans,141,559.0
1903,LAD,Brooklyn Superbas,139,516.0
1903,ATL,Boston Beaneaters,140,495.0
1903,CHW,Chicago White Sox,138,538.0
1903,CHC,Chicago Cubs,139,455.0
1903,CIN,Cincinnati Reds,141,427.0
1903,CLE,Cleveland Naps,140,588.0
1903,DET,Detroit Tigers,137,524.0
1903,SFG,New York Giants,142,465.0
1903,NYY,New York Highlanders,136,461.0
1903,OAK,Philadelphia Athletics,137,511.0
1903,PHI,Philadelphia Phillies,139,431.0
